text,category
Do cash machines let me change my pin?,change_pin
Why was I not allowed to do a transfer to a beneficiary?,beneficiary_not_allowed
Why is there a verification to identity,why_verify_identity
Why hasn't my card payment cleared yet?,pending_card_payment
I am suppose to be getting a refund from something I purchased but it hasn't showed up in my account.,Refund_not_showing_up
Where is this card accepted?,card_acceptance
"Would you be able to offer me a discount, since I need to exchange currencies frequently?",exchange_charge
What ATMs use this card?,atm_support
I need to transfer money into this account from my other bank account.,transfer_into_account
Is it possible to use an ATM when I am not in the country and make a withdraw with out extra fees?,wrong_exchange_rate_for_cash_withdrawal
"Hi there, I've tried to make a transfer 5 different times and its not working. Is your system down or something?",failed_transfer
I noticed after looking over my transactions that I have been charged twice from an earlier restaurant visit this week. Is it possible that one of these can be removed so I get the money back for the one that is not accurate?,transaction_charged_twice
"I want to transfer money to a beneficiary, but I couldn't.",beneficiary_not_allowed
My top-up is still pending,pending_top_up
What is this extra pound charge for?,extra_charge_on_statement
What are all of the different steps for identity checks?,verify_my_identity
"I need to transfer some money, can I use my credit card?",topping_up_by_card
there is a transfer pending.,pending_transfer
How do I link a new card in the app?,card_linking
I need a second card on this account for my daughter.,getting_spare_card
"I am in Austria right now. I need to change my PIN ASAP, so can I still do this from here?",change_pin
What is the fee for accepting money from a foreign country?,exchange_charge
Why is my top up not completing?,pending_top_up
Why can't I top up by cheque?,top_up_by_cash_or_cheque
Can i choose a specific delivery date?,card_delivery_estimate
What is the point of verifying a top up?,verify_top_up
Can I be given a new passcode?,passcode_forgotten
let me know how many disposable cards I can have?,disposable_card_limits
I can't find my code,passcode_forgotten
The rate applied to my foreign purchase was incorrect,card_payment_wrong_exchange_rate
How much will I be charged for a cross-currency exchange?,exchange_charge
I need to know why a money transfer is available.,pending_transfer
Is it possible to cancel my transfer?,cancel_transfer
I do not have the information to verify my identify.,unable_to_verify_identity
"Looks like my card payment was made two time by mistake. I went to pay at the store earlier which rejected once, second time it worked. App is on pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice
Why did I only receive this much currency?,wrong_exchange_rate_for_cash_withdrawal
Why would a transfer fail?,failed_transfer
Can I reactivate a card I thought I lost?,card_linking
I was declined when trying to withdrawal cash!,declined_cash_withdrawal
My transfer failed to a beneficiary,beneficiary_not_allowed
where has my transferred money gone?,transfer_not_received_by_recipient
can other people use the app to add money to my account,topping_up_by_card
What do you use to figure out the exchange rate for the card?,exchange_rate
I would like to know how exchange rates are calculated when transferring funds.,exchange_rate
Using an ATM caused me to incur an additional fee. Why?,cash_withdrawal_charge
What is the youngest age for an account?,age_limit
"I only have one more US credit card, is it accepted?",supported_cards_and_currencies
When can I expect delivery?,card_delivery_estimate
I tried to use the ATM with foreign currency. The conversion rate applied was wrong.,wrong_exchange_rate_for_cash_withdrawal
If I want to select a new PIN what do I do?,change_pin
My card payment was not successful.,declined_card_payment
Do I have a limit to the number of top-ups per day?,top_up_limits
Do you offer disposable virtual cards too?,get_disposable_virtual_card
Is there a way for you to find out why my account was deducted from a seller when I didn't approve of it?,direct_debit_payment_not_recognised
What if I don't want to disclose all of my identity details?,why_verify_identity
The balance has not been updated.,balance_not_updated_after_bank_transfer
The ATM gave me less cash than requested,wrong_amount_of_cash_received
"If I lost my phone at the hotel, can I still use the app?",lost_or_stolen_phone
I need a number of disposable cards everyday.,disposable_card_limits
Does the top-up need verified?,verify_top_up
My card was charged more than expected.,card_payment_fee_charged
I would like to top up my account automatically. How do I do that?,automatic_top_up
I've made a transfer from France two days ago but I was wondering if international transfers take longer to arrive because it hasn't made it yet.,balance_not_updated_after_bank_transfer
Why have my top ups been canceled?,top_up_reverted
I would like to get an item refunded,request_refund
Transfer was declined.,declined_transfer
How to cancel a transaction,cancel_transfer
I believe someone is using my card without my agreement!,compromised_card
Something went wrong with my withdrawal. The amount of money isn't right.,wrong_amount_of_cash_received
How can I top up my account by bank transfer?,transfer_into_account
Can I reset the passcode?,passcode_forgotten
Do you offer auto top ups?,automatic_top_up
passcode retrieval,passcode_forgotten
My card does not work,card_not_working
Are there any sort of fees involved for top of transfers?,top_up_by_bank_transfer_charge
Am I able to do a SWIFT transfer with you?,top_up_by_bank_transfer_charge
Can I use google pay to top up?,apple_pay_or_google_pay
My card did not go through in a shop,declined_card_payment
I've lost track of my phone or someone stole it.,lost_or_stolen_phone
Mastercard is preferred to me.,visa_or_mastercard
Can I change my PIN on my phone?,change_pin
The ATM didnt let me get cash,declined_cash_withdrawal
Did I not get my refund? I don't see it.,Refund_not_showing_up
I withdraw money abroad but I didn't get the right amount.,wrong_exchange_rate_for_cash_withdrawal
I checked my statement and am being charged one pound. Where did this charge come from?,extra_charge_on_statement
I need to order a new card.,order_physical_card
Why did you decline my transfer?,declined_transfer
Why does it cost more to pay with my card?,card_payment_fee_charged
Did  my transfer fail?,failed_transfer
Where is my money transfer?,transfer_timing
Any hidden fees associated with the international card if money is added?,top_up_by_card_charge
My app shows a direct debit that isn't mine.,direct_debit_payment_not_recognised
"There must have been a mistake, why was I charged an extra pound?",extra_charge_on_statement
how to exchange currencies,exchange_via_app
Is this app capable of exchanging currencies?,exchange_via_app
Transferring money using credit card,topping_up_by_card
Can I pay more to get it deliver quicker?,card_delivery_estimate
What's the tracking on the card you sent?,card_arrival
"May monthly payment to Apple has been declined but I don't know why, they are going to re-try the payment and it must go through, can you tell me what is going on please?",declined_card_payment
How long does it take for a transfer to finish pending?,pending_transfer
What can I expect if I use bank transfer to top up my account?,transfer_into_account
"I transferred the rent payment for my new place a couple days ago but the landlord says it's not there yet, despite showing up as done on my side. I checked the account number I sent it to and it's definitely correct. Can you please verify if the transaction really went through or not?",transfer_not_received_by_recipient
Why didn't the ATM give me all my money,wrong_amount_of_cash_received
"Hello. How long does it usually take to transfer money to another country? I've made sure all the information is correct, but the transfer still says that it's ""pending.""",pending_transfer
Is there anyway to bypass identity verification?,why_verify_identity
Where is my PIN located?,get_physical_card
I still haven't gotten my new card.  When will it get here?,card_arrival
"Why would my transfer be declined? I've checked that I've put in all the right details, but it is still declined.",declined_transfer
How do I find out why my card won't work?,card_not_working
I think my card is stolen!,lost_or_stolen_card
How old do we have to be?,age_limit
"My transfer is pending, why?",pending_transfer
What are all the currencies and cards supported to use this?,supported_cards_and_currencies
I didn't cancel my card payment.,reverted_card_payment?
I have a transaction showing multiple times.,transaction_charged_twice
I got cash and was charged a fee that shouldn't be there!,cash_withdrawal_charge
What can you use the disposable cards for?,get_disposable_virtual_card
How do I add the card I just received to show up in the app?,card_linking
What is necessary for the identity verification?,verify_my_identity
I want to know about your refund policy.,request_refund
"The transaction for the cash I pulled out of the ATM earlier is pending in the app, but how if I already have the cash?",pending_cash_withdrawal
I would like to close my account.,terminate_account
What do I do if I already had a card with you guys?,card_linking
How do you top-up using cash?,top_up_by_cash_or_cheque
Can I unblock my pin using the app?,pin_blocked
How do i receive a physical card?,order_physical_card
"I cannot get to my app, what should I do?",lost_or_stolen_phone
Why doesn't the person I sent money to see that transfer yet?,transfer_not_received_by_recipient
Tell me why there is an extra charge when I used an ATM?,cash_withdrawal_charge
After my card expires what should I do?,card_about_to_expire
What foreign exchange rate will I get on weekdays and on the weekends?,exchange_rate
Visa or Mastercard?,visa_or_mastercard
Whats the reason for my payment being declined? It looked like everything went through ok and my account was good.,declined_card_payment
Will you guys charge me for topping up by transfer?,top_up_by_bank_transfer_charge
I need to update my current address,edit_personal_details
Why is the transaction not posting?,pending_transfer
There are some charges that I don't recognize.  It happened days ago.  Can I get these charges back?  Should I cancel my card?,card_payment_not_recognised
Do the disposable cards have a transaction limit?,disposable_card_limits
"I topped-up my account, but I don't think it went through.",pending_top_up
How do I order a card?,order_physical_card
Estimated time arrival for transfers?,transfer_timing
"If I have this card, which ATMs can I go to?",atm_support
How do I exchange AUD for GBP?,exchange_via_app
Can I order a new card by phone?,card_about_to_expire
I was spending cash with my card and got a fee.,card_payment_fee_charged
Why was I not able to complete a transfer?,failed_transfer
How many days do I have to wait for the transfer to reach my account?,transfer_timing
What is the charge to make a transfer,top_up_by_bank_transfer_charge
I was told I would be getting a refund but I have yet to see it,Refund_not_showing_up
I tried to deposit a cheque into my account and it is not letting me.,top_up_by_cash_or_cheque
Can both a Visa and Mastercard be received from you?,visa_or_mastercard
tell me how to get a refund for something I bought.,request_refund
I cannot find my refund on my statement.,Refund_not_showing_up
Why didn't my friend's transaction arrive yet?,transfer_not_received_by_recipient
How can I change my name because I just got married?,edit_personal_details
I got my new card but I am not sure if it need s activated and how?,activate_my_card
Will a transfer incur a fee?,top_up_by_bank_transfer_charge
Why do I have an unexpected fee on my bill?,transfer_fee_charged
What does pending payment mean?,pending_card_payment
Help!  The app says I took out cash but I didn't!,cash_withdrawal_not_recognised
I can't withdraw money,declined_cash_withdrawal
Please help me to know the status of my card payment as its pending since a while.,pending_card_payment
What is this extra fee while I was doing a transfer?,transfer_fee_charged
Why did I get charged for withdrawing cash?,cash_withdrawal_charge
Why do i have to verify my top-up card?,verify_top_up
How to change the PIN on my card?,change_pin
you got the exchange rate wrong for my cash withdrawal,wrong_exchange_rate_for_cash_withdrawal
Why was my account assessed a fee for an ATM transaction?,cash_withdrawal_charge
Do I pay a fee for SEPA transfers?,top_up_by_bank_transfer_charge
is it ok if i use both visa and mastercard,visa_or_mastercard
I received the wrong amount of cash from the ATM. Can you help?,wrong_amount_of_cash_received
What has to be done to verify my identity?,verify_my_identity
"If I need an additional card, is there a fee for that?",getting_spare_card
How is this transfer supposed to work? It's not working for me.,failed_transfer
"The transfer keeps failing - I tried to transfer some money to friends this morning but it keeps getting rejected for some reason, I have no idea why",failed_transfer
I was trying to top-up and my credit card was declined. Can you tell me why?,top_up_failed
Do you accept exchanges to EUR?,fiat_currency_support
I am planning activating my card was it possible?,activate_my_card
How do I access the virtual card?,getting_virtual_card
"I have a card that expires in the coming month, do I have to specifically ask for the updated card?",card_about_to_expire
Can I re-link a lost card with the app?,card_linking
"I am a new customer, and I happened to look at my app and there is a charge I am not familiar with.  Could you tell me why the extra charge is there?",extra_charge_on_statement
Do you allow currency exchanges?,fiat_currency_support
It looks like I was charged twice for a single transaction,transaction_charged_twice
What is the code I need to get into the app?,passcode_forgotten
Can you please tell me where my card is? I ordered it 2 weeks ago!,card_arrival
"While I was drunk, I goofed my PIN number and your machine ate my card. How can I get it back?",pin_blocked
The app is not able to realize that it is me.,unable_to_verify_identity
Where is my pin? I don't have it yet,get_physical_card
Is there a list of ATM machines?,atm_support
"I am seeing a weird payment showing up that I know I did not make, how can I get it cancelled?",direct_debit_payment_not_recognised
can i order cards on the app,order_physical_card
My card data has been exposed.,compromised_card
can i use both visa and mastercard,visa_or_mastercard
What countries do you do business in?,country_support
I couldn't make a transfer because it was declined,declined_transfer
How can I get cash back? The ATM just gave me the wrong amount that I've been actually charged though...,wrong_amount_of_cash_received
Send my card as soon as you are able to.,card_delivery_estimate
I don't think my top up worked,top_up_failed
What different ways are there for someone to send me money?,receiving_money
I don't recognize this debit transaction in my billing statement?,direct_debit_payment_not_recognised
Hi! What documents can I use to verify my identity?,verify_my_identity
Can you transfer money to your card by bank transfer?,transfer_into_account
Can I use my account before my Identity verification has passed?,why_verify_identity
I lost my phone and need help protecting it.,lost_or_stolen_phone
What should I do if my card doesn't work?,card_not_working
How long does an item I bought show as pending?,pending_card_payment
When will my top-up happen?,pending_top_up
I saw a payment i did not do,card_payment_not_recognised
Shouldn't my new card be here by now?,card_arrival
What will happen if I want to add money using an international card? Will I run into any fees?,top_up_by_card_charge
Is there a limit for top-ups?,top_up_limits
Why did I not get the amount I specified at the ATM?,wrong_amount_of_cash_received
Why is a money transfer not showing?,pending_transfer
I have a payment in my statement that is off,card_payment_not_recognised
I got a cheque that I want to top up with?,top_up_by_cash_or_cheque
My recipient hasn't received the money,transfer_not_received_by_recipient
Can my salary be received and transferred to my current currency in my country?,receiving_money
Please tell me why the same transaction is showing up on my account more than once.,transaction_charged_twice
Explain pending transactions.,pending_cash_withdrawal
Im waiting for my transaction to go through.,transfer_not_received_by_recipient
They charged me for paying with my card.,card_payment_fee_charged
The app doesn't believe that I am myself,unable_to_verify_identity
I have a new card. How do I activate it?,activate_my_card
How long do deposits take to appear? I've been waiting for more than a week and need the money!,balance_not_updated_after_cheque_or_cash_deposit
Can you tell me what the exchange fee is?,exchange_charge
I've already tried 5 times to complete a transfer that's just standard. What's the deal? Is your system down at this time?,failed_transfer
Can I track the card you sent to me?,card_arrival
Can I have an item refunded?,request_refund
"Your top-up function isn't working, it still says pending even though I know my card works.",pending_top_up
"The cheque I sent a few days ago has not been deposited yet, what is the hold up?",balance_not_updated_after_cheque_or_cash_deposit
"If my card is trapped in the ATM, what do I do?",card_swallowed
I havn't received my PIN yet.,get_physical_card
I think I was charged double for something I bought - how long should I wait before reporting this?,transaction_charged_twice
I want to delete my account. I'm unhappy with the service you're providing.,terminate_account
My account needs to be deleted.,terminate_account
Can I receive a new card while I am in China?,card_about_to_expire
It's been a week since you sent my card and I still don't have it.,card_arrival
My card needs to be topped up.,topping_up_by_card
Will I be fined for topping up by transfer?,top_up_by_bank_transfer_charge
How do I add money to my card?,topping_up_by_card
I checked my account today and saw that I was charged an extra pound that I did not spend.,extra_charge_on_statement
I suspect someone used my card.,compromised_card
I think someone stole my card because I can't find it.,lost_or_stolen_card
Are there any specific cash machines that I have to go to in order to change my PIN?,change_pin
How do disposable cards work?,get_disposable_virtual_card
How long will it take for me to get my card?,card_arrival
"When I got cash, the exchange rate applied was wrong.",wrong_exchange_rate_for_cash_withdrawal
where can I get the info for my funds,verify_source_of_funds
I got a notice from my app that I withdrew cash but I don't remember doing so. How do I fix this?,cash_withdrawal_not_recognised
I don't think I made this payment that is showing up,card_payment_not_recognised
The amount of cash I received was not the full amount,wrong_amount_of_cash_received
Can i have a card to my daughter?,getting_spare_card
What is your maximum top up limit per day?,top_up_limits
"Someone is making transactions on my account, I think they took my card information.",compromised_card
How do I know which countries you provide service in?,country_support
How old do you have to be to be able to open an account?,age_limit
I got less cash than what I specified for through the ATM.,wrong_amount_of_cash_received
CAN YOU EXPLAIN HOW TO TRANSFER MONEY INTO MY  ACCOUNT FOR ME?,transfer_into_account
My identity wasn't verified,unable_to_verify_identity
How would I use a disposable card?,get_disposable_virtual_card
Why does it matter that I prove my identity?,why_verify_identity
"Hi, Yesterdays i was unable to do online shopping as it was getting declined. Today I am facing the same issue. Please help me in this respect.",declined_transfer
I sent some money and the account hasn't recived the transfer I made.,transfer_not_received_by_recipient
Does it matter which card I use,visa_or_mastercard
"I am worried about the amount of my cheque, which should be credited to my account few days before. As i have already sent you the cheque.",balance_not_updated_after_cheque_or_cash_deposit
I was made to pay an additional pound!,extra_charge_on_statement
Can it automatically top-up money if there isn't much left?,automatic_top_up
I need assistance to activate the card on my account.,activate_my_card
"Um, my top up didn't work",top_up_failed
I bought an item and now I want a refund.,request_refund
Where are the Mastercard ATMs?,atm_support
How many currencies can I have?,fiat_currency_support
Will you charge me for topping up with a European card?,top_up_by_card_charge
What is the limit to disposable cards you can have?,disposable_card_limits
What do I need to know about topping up?,top_up_by_card_charge
My transfer didn't work! Help!,failed_transfer
My payment was cancelled,reverted_card_payment?
How can I get disposable virtual cards?,get_disposable_virtual_card
What do I do to unblock my PIN?,pin_blocked
I wanted to purchase something online but the payment was returned back to me. This has been going on for a couple of weeks. Please tell me what is going on here?,reverted_card_payment?
Help me use American Express to add money to the account.,supported_cards_and_currencies
"My details need to be changed, how can I do so?",edit_personal_details
My card isn't here yet.,card_arrival
I have a fee listed for a transfer.,transfer_fee_charged
Is my card broken?,card_not_working
The App shows a fraudulent payment made on my account.,card_payment_not_recognised
Can you delete the account?,terminate_account
They used the wrong rate when I made a purchase with foreign currency.,card_payment_wrong_exchange_rate
"I'm going to be away for awhile, can I have it add money automatically in certain intervals?",automatic_top_up
Can I exchange my money for EUR?,fiat_currency_support
The app failed to verify my id.,unable_to_verify_identity
What is the fee on my statement for?,extra_charge_on_statement
I've been charged more than once for the same transaction,transaction_charged_twice
Where Is the top up verification code found?,verify_top_up
I made a transfer from my UK account a couple of hours ago.  Could you please make sure everything went alright.,balance_not_updated_after_bank_transfer
I just realized I made the wrong transaction yesterday. Would  you please make it correct?I need it by tomorrow Please.,cancel_transfer
I had a card payment that was declined.  Why?,declined_card_payment
The exchange rate for my card payment doesn't seem right.,card_payment_wrong_exchange_rate
Help!  There is a cash withdrawl on the account that I didn't make!,cash_withdrawal_not_recognised
Explain what the pending payment means?,pending_card_payment
I want a virtual card that is disposable,get_disposable_virtual_card
Where can I go to get a virtual card?,getting_virtual_card
Please help me find my top-up verification code,verify_top_up
"My payment has been declined!! What's going on, I thought everything was alright and working well?",declined_card_payment
How can I fix this?  There is a double charge on my account.,transaction_charged_twice
How long will it take to receive my money from my transfer transaction?,transfer_not_received_by_recipient
My friends would like to add to my account. What is the procedure?,topping_up_by_card
Are the funds I requested from a merchant a few days ago in my account? I do not see them.,Refund_not_showing_up
"i was supposed to get a refund but my balance hasn't changed, why not?",Refund_not_showing_up
Is it possible for a transaction to be cancelled?,cancel_transfer
I left my phone at the hotel I was staying at so I can't use the app!,lost_or_stolen_phone
How do i get my salary in the account?,receiving_money
Are there businesses that don't accept this card?,card_acceptance
I have duplicate charges for the same transaction,transaction_charged_twice
Do top-ups have a limit?,top_up_limits
How can I get my Google pay top up to work?,apple_pay_or_google_pay
Is there a verification code for the top-up card?,verify_top_up
I requested a virtual card but it is not showing up. Why?,getting_virtual_card
This card is accepted by what businesses?,card_acceptance
What's up with the fee for getting cash?,cash_withdrawal_charge
where can i see money source?,verify_source_of_funds
You can use it anywhere that accepts Mastercard.,card_acceptance
"I already have one of your cards, how do I link them?",card_linking
Why was I charged extra when transferring?,transfer_fee_charged
It looks like my top-up was cancelled,top_up_reverted
Is there a way to see my money's source?,verify_source_of_funds
I need to find the card I received in the app.,card_linking
What steps do I need to take for the identity checking process?,verify_my_identity
How long will it take to urgently transfer something to China?,transfer_timing
Why am I getting declines when trying to make a purchase online?,declined_transfer
How do I close my account?,terminate_account
There is a withdrawal waiting.,pending_cash_withdrawal
I have duplicated transactions on my statement,transaction_charged_twice
Can I use this to receive my salary?,receiving_money
Are there any reasons that my identity wouldn't be accepted even though everything I've provided is factual?,unable_to_verify_identity
How do I activate my card to start using it?,activate_my_card
How can I cancel this transaction?,cancel_transfer
"Hey there, I just went through my most recent credit card payments and I notice the same charge for a restaurant was processed twice. There was only one meal at this place, so I would like one of the charges to be reversed and my money to be put back in the account.",transaction_charged_twice
I can't seem to figure out why my transfers are getting declined.,declined_transfer
I use GBP for my salary deposits. Must I set this up somewhere?,receiving_money
My card doesn't work.,card_not_working
What exchange rates do you offer?,exchange_rate
Are there any extra fees for adding money into the international card?,top_up_by_card_charge
A false direct debit payment is showing in my app,direct_debit_payment_not_recognised
"I needed to send my friends some money urgently.  I tried multiple times to transfer the money this morning, but the transfer keeps failing.  Can you tell me why the transfer is getting rejected?",failed_transfer
What do I do if an ATM ate my card?,card_swallowed
"Help me please, I need to top up cash.",top_up_by_cash_or_cheque
How much does it cost to get a new card?  Mine is almost expired.  How fast does it come?,card_about_to_expire
I need to urgently transfer something from China. How long will it approximately take?,transfer_timing
Is it possible to order another card?,getting_spare_card
My transaction is on the wrong account.,cancel_transfer
My funding to my card didn't go through.,top_up_failed
Can you tell me what this cash withdrawal is?,cash_withdrawal_not_recognised
"Hurry and refund me, I am waiting",Refund_not_showing_up
Is a physical charge extra,order_physical_card
Do I need to do something to get a new card once it expires?,card_about_to_expire
